timestamp_ns,path_id,delay_s,amplitude_real,amplitude_imag,phase_rad,aoa_theta_rad,aoa_phi_rad,aod_theta_rad,aod_phi_rad,doppler_hz,los_flag
0,0,8.172381967597175e-06,3.2457879228786624e-07,0.0,0.0,1.5684289932250977,-0.003112232778221369,1.5731637477874756,3.1384804248809814,-9728.878397681485,1
10285714,0,8.169045941031072e-06,3.247113227189402e-07,0.0,0.0,1.5684280395507812,-0.003113504033535719,1.573164701461792,3.138479232788086,-9728.878337212736,1
20571429,0,8.165710823959671e-06,3.248439668368519e-07,0.0,0.0,1.5684270858764648,-0.0031147755216807127,1.5731656551361084,3.1384780406951904,-9728.87827671236,1
30857143,0,8.162374797393568e-06,3.249767246416013e-07,0.0,0.0,1.5684261322021484,-0.0031160484068095684,1.5731666088104248,3.138476610183716,-9728.878216145058,1
41142857,0,8.159039680322167e-06,3.2510956771147903e-07,0.0,0.0,1.568425178527832,-0.0031173222232609987,1.5731675624847412,3.1384754180908203,-9728.878155524897,1
51428571,0,8.155703653756063e-06,3.2524252446819446e-07,0.0,0.0,1.5684242248535156,-0.0031185976695269346,1.5731685161590576,3.138474225997925,-9728.878094830656,1
61714286,0,8.152368536684662e-06,3.2537562333345704e-07,0.0,0.0,1.5684232711791992,-0.003119873581454158,1.573169469833374,3.13847279548645,-9728.878034097605,1
72000000,0,8.149032510118559e-06,3.255088074638479e-07,0.0,0.0,1.5684221982955933,-0.003121150191873312,1.57317054271698,3.1384716033935547,-9728.87797056527,1
82285714,0,8.145696483552456e-06,3.256421052810765e-07,0.0,0.0,1.5684212446212769,-0.0031224284321069717,1.5731714963912964,3.138470411300659,-9728.877909711002,1
92571429,0,8.142362275975756e-06,3.257754883634334e-07,0.0,0.0,1.5684202909469604,-0.003123707603663206,1.5731724500656128,3.1384689807891846,-9728.877848803688,1
102857143,0,8.139026249409653e-06,3.25908985132628e-07,0.0,0.0,1.568419337272644,-0.003124987706542015,1.5731734037399292,3.138467788696289,-9728.87778784329,1
113142857,0,8.135691132338252e-06,3.2604262401036976e-07,0.0,0.0,1.5684183835983276,-0.0031262689735740423,1.5731743574142456,3.1384663581848145,-9728.877726822695,1
123428571,0,8.132355105772149e-06,3.261763481532398e-07,0.0,0.0,1.5684174299240112,-0.003127551171928644,1.573175311088562,3.138465166091919,-9728.87766574894,1
133714286,0,8.129019079206046e-06,3.263101291395287e-07,0.0,0.0,1.5684163570404053,-0.0031288345344364643,1.573176383972168,3.1384639739990234,-9728.877601854747,1
144000000,0,8.125683962134644e-06,3.2644410907778365e-07,0.0,0.0,1.5684154033660889,-0.0031301190610975027,1.5731773376464844,3.138462543487549,-9728.877540659285,1
154285714,0,8.122347935568541e-06,3.2657817428116687e-07,0.0,0.0,1.5684144496917725,-0.0031314045190811157,1.5731782913208008,3.1384613513946533,-9728.877479410548,1
164571429,0,8.11901281849714e-06,3.2671232474967837e-07,0.0,0.0,1.568413496017456,-0.003132691141217947,1.5731792449951172,3.138460159301758,-9728.877418101407,1
174857143,0,8.115676791931037e-06,3.2684661732673703e-07,0.0,0.0,1.5684125423431396,-0.003133978694677353,1.5731801986694336,3.138458728790283,-9728.877356738916,1
185142857,0,8.112341674859636e-06,3.269810235906334e-07,0.0,0.0,1.5684114694595337,-0.003135267412289977,1.5731812715530396,3.1384575366973877,-9728.87729255011,1
195428571,0,8.109005648293532e-06,3.271155435413675e-07,0.0,0.0,1.5684105157852173,-0.003136556828394532,1.573182225227356,3.138456106185913,-9728.877231079707,1
205714286,0,8.10566962172743e-06,3.2725020560064877e-07,0.0,0.0,1.5684095621109009,-0.003137847874313593,1.5731831789016724,3.1384549140930176,-9728.877169534524,1
216000000,0,8.102334504656028e-06,3.273849245033489e-07,0.0,0.0,1.5684086084365845,-0.0031391396187245846,1.5731841325759888,3.138453483581543,-9728.877107942944,1
226285714,0,8.098998478089925e-06,3.275197286711773e-07,0.0,0.0,1.5684075355529785,-0.003140432760119438,1.5731852054595947,3.1384522914886475,-9728.877043513214,1
236571429,0,8.095663361018524e-06,3.2765467494755285e-07,0.0,0.0,1.568406581878662,-0.0031417266000062227,1.5731861591339111,3.138451099395752,-9728.876981806297,1
246857143,0,8.09232733445242e-06,3.2778973491076613e-07,0.0,0.0,1.5684056282043457,-0.0031430216040462255,1.5731871128082275,3.1384496688842773,-9728.87692003865,1
257142857,0,8.088992217381019e-06,3.2792490856081713e-07,0.0,0.0,1.5684046745300293,-0.0031443177722394466,1.573188066482544,3.138448476791382,-9728.876858210228,1
267428571,0,8.085656190814916e-06,3.2806019589770585e-07,0.0,0.0,1.5684036016464233,-0.0031456148717552423,1.57318913936615,3.1384470462799072,-9728.876793553156,1
277714286,0,8.082320164248813e-06,3.2819556849972287e-07,0.0,0.0,1.568402647972107,-0.0031469131354242563,1.5731900930404663,3.1384458541870117,-9728.876731609073,1
288000000,0,8.078985047177412e-06,3.2833108321028703e-07,0.0,0.0,1.5684016942977905,-0.003148212330415845,1.5731910467147827,3.138444423675537,-9728.876669611218,1
298285714,0,8.075649020611309e-06,3.284667116076889e-07,0.0,0.0,1.5684007406234741,-0.0031495126895606518,1.5731920003890991,3.1384432315826416,-9728.876607552424,1
308571429,0,8.072313903539907e-06,3.286024252702191e-07,0.0,0.0,1.5683996677398682,-0.0031508139800280333,1.573193073272705,3.138442039489746,-9728.876542660266,1
318857143,0,8.068977876973804e-06,3.2873828104129643e-07,0.0,0.0,1.5683987140655518,-0.003152116434648633,1.5731940269470215,3.1384406089782715,-9728.876480485493,1
329142857,0,8.065642759902403e-06,3.2887422207750205e-07,0.0,0.0,1.5683977603912354,-0.0031534202862530947,1.573194980621338,3.138439416885376,-9728.876418242511,1
339428571,0,8.0623067333363e-06,3.2901030522225483e-07,0.0,0.0,1.5683966875076294,-0.003154725069180131,1.5731960535049438,3.1384379863739014,-9728.876353162585,1
349714286,0,8.058970706770197e-06,3.291464736321359e-07,0.0,0.0,1.568395733833313,-0.003156030783429742,1.5731970071792603,3.138436794281006,-9728.876290810516,1
360000000,0,8.055635589698795e-06,3.292827841505641e-07,0.0,0.0,1.5683947801589966,-0.003157337661832571,1.5731979608535767,3.1384353637695312,-9728.876228397256,1
370285714,0,8.052299563132692e-06,3.294191515124112e-07,0.0,0.0,1.5683937072753906,-0.003158645471557975,1.5731990337371826,3.1384341716766357,-9728.87616314348,1
380571429,0,8.04896444606129e-06,3.295556609828054e-07,0.0,0.0,1.5683927536010742,-0.003159954212605953,1.573199987411499,3.138432741165161,-9728.876100620908,1
390857143,0,8.04562932898989e-06,3.2969225571832794e-07,0.0,0.0,1.5683917999267578,-0.0031612643506377935,1.5732009410858154,3.1384315490722656,-9728.876038029859,1
401142857,0,8.042293302423786e-06,3.298289925623976e-07,0.0,0.0,1.5683907270431519,-0.0031625754199922085,1.5732020139694214,3.138430118560791,-9728.875972594722,1
411428571,0,8.038958185352385e-06,3.29965843093305e-07,0.0,0.0,1.5683897733688354,-0.003163888119161129,1.5732029676437378,3.1384289264678955,-9728.875909872626,1
421714286,0,8.035622158786282e-06,3.3010280731105013e-07,0.0,0.0,1.5683887004852295,-0.0031652015168219805,1.5732040405273438,3.138427495956421,-9728.875844311173,1
432000000,0,8.03228704171488e-06,3.3023988521563297e-07,0.0,0.0,1.568387746810913,-0.0031665158458054066,1.5732049942016602,3.1384263038635254,-9728.875781486528,1
442285714,0,8.028951015148778e-06,3.3037707680705353e-07,0.0,0.0,1.5683867931365967,-0.003167831338942051,1.5732059478759766,3.138424873352051,-9728.875718600346,1
452571429,0,8.025615898077376e-06,3.3051441050702124e-07,0.0,0.0,1.5683857202529907,-0.0031691479962319136,1.5732070207595825,3.1384236812591553,-9728.8756528569,1
462857143,0,8.022279871511273e-06,3.306518863155361e-07,0.0,0.0,1.5683847665786743,-0.0031704658176749945,1.573207974433899,3.1384222507476807,-9728.875589846413,1
473142857,0,8.01894384494517e-06,3.3078941896746983e-07,0.0,0.0,1.5683836936950684,-0.00317178457044065,1.5732090473175049,3.138421058654785,-9728.875523983403,1
483428571,0,8.015608727873769e-06,3.309270937279507e-07,0.0,0.0,1.568382740020752,-0.0031731044873595238,1.5732100009918213,3.1384196281433105,-9728.875460855623,1
493714286,0,8.012272701307666e-06,3.3106485375355987e-07,0.0,0.0,1.5683817863464355,-0.003174425335600972,1.5732109546661377,3.138418197631836,-9728.87539767328,1
504000000,0,8.008937584236264e-06,3.3120272746600676e-07,0.0,0.0,1.5683807134628296,-0.0031757475808262825,1.5732120275497437,3.1384170055389404,-9728.875331620458,1
514285714,0,8.005601557670161e-06,3.313407432870008e-07,0.0,0.0,1.5683797597885132,-0.003177070990204811,1.57321298122406,3.138415575027466,-9728.875268306188,1
524571429,0,8.002265531104058e-06,3.3147884437312314e-07,0.0,0.0,1.5683786869049072,-0.003178394865244627,1.573214054107666,3.1384143829345703,-9728.875202147781,1
534857143,0,7.998930414032657e-06,3.316170875677926e-07,0.0,0.0,1.5683777332305908,-0.0031797203700989485,1.5732150077819824,3.1384129524230957,-9728.875138715799,1
545142857,0,7.995594387466554e-06,3.317554160275904e-07,0.0,0.0,1.5683766603469849,-0.0031810468062758446,1.5732160806655884,3.1384117603302,-9728.875072422856,1
555428571,0,7.992259270395152e-06,3.3189388659593533e-07,0.0,0.0,1.5683757066726685,-0.003182374406605959,1.5732170343399048,3.1384103298187256,-9728.875008872994,1
565714286,0,7.98892324382905e-06,3.3203244242940855e-07,0.0,0.0,1.5683746337890625,-0.003183703636750579,1.5732181072235107,3.13840913772583,-9728.874942438106,1
576000000,0,7.985588126757648e-06,3.321711403714289e-07,0.0,0.0,1.568373680114746,-0.0031850330997258425,1.5732190608978271,3.1384077072143555,-9728.87487877741,1
