scenario,station,label,timestamp_ns,path_count,total_power_linear,path_loss_db,mean_excess_delay_s,rms_delay_spread_s,rms_delay_spread_ns,asa_deg,asd_deg,esa_deg,esd_deg,los_power_linear,nlos_power_linear,k_factor_db,los_present
no_blockage,TX4,Viaduct F,0,1.0,4.194113775106884e-12,113.77359792461307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.194113775106884e-12,0.0,inf,1.0
no_blockage,TX4,Viaduct F,10285714,1.0,4.197539801223864e-12,113.7700517717444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.197539801223864e-12,0.0,inf,1.0
no_blockage,TX4,Viaduct F,20571429,1.0,4.2009700222572064e-12,113.76650417537164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2009700222572064e-12,0.0,inf,1.0
no_blockage,TX4,Viaduct F,30857143,1.0,4.20440444163236e-12,113.76295513785382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.20440444163236e-12,0.0,inf,1.0
no_blockage,TX4,Viaduct F,41142857,1.0,4.207842129953123e-12,113.75940562432349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.207842129953123e-12,0.0,inf,1.0
no_blockage,TX4,Viaduct F,51428571,1.0,4.211284955917902e-12,113.75585371119342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.211284955917902e-12,0.0,inf,1.0
no_blockage,TX4,Viaduct F,61714286,1.0,4.214731990517295e-12,113.75230036398685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.214731990517295e-12,0.0,inf,1.0
no_blockage,TX4,Viaduct F,72000000,1.0,4.218183237187937e-12,113.74874558505701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.218183237187937e-12,0.0,inf,1.0
no_blockage,TX4,Viaduct F,82285714,1.0,4.221638699369253e-12,113.74518937675569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.221638699369253e-12,0.0,inf,1.0
no_blockage,TX4,Viaduct F,92571429,1.0,4.2250974457682974e-12,113.7416327022401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2250974457682974e-12,0.0,inf,1.0
no_blockage,TX4,Viaduct F,102857143,1.0,4.228561348917274e-12,113.73807364185176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.228561348917274e-12,0.0,inf,1.0
no_blockage,TX4,Viaduct F,113142857,1.0,4.232029477911604e-12,113.73451315913853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.232029477911604e-12,0.0,inf,1.0
no_blockage,TX4,Viaduct F,123428571,1.0,4.235501836201883e-12,113.73095125644636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.235501836201883e-12,0.0,inf,1.0
no_blockage,TX4,Viaduct F,133714286,1.0,4.238976554703074e-12,113.72738985458494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.238976554703074e-12,0.0,inf,1.0
no_blockage,TX4,Viaduct F,144000000,1.0,4.242458317832955e-12,113.7238241593405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.242458317832955e-12,0.0,inf,1.0
no_blockage,TX4,Viaduct F,154285714,1.0,4.245943384357839e-12,113.72025801037873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.245943384357839e-12,0.0,inf,1.0
no_blockage,TX4,Viaduct F,164571429,1.0,4.249432694008593e-12,113.71669045080701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.249432694008593e-12,0.0,inf,1.0
no_blockage,TX4,Viaduct F,174857143,1.0,4.252927188058209e-12,113.71312052530563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.252927188058209e-12,0.0,inf,1.0
no_blockage,TX4,Viaduct F,185142857,1.0,4.256424994742731e-12,113.70955015192168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.256424994742731e-12,0.0,inf,1.0
no_blockage,TX4,Viaduct F,195428571,1.0,4.259928932115521e-12,113.70597646119704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.259928932115521e-12,0.0,inf,1.0
no_blockage,TX4,Viaduct F,205714286,1.0,4.2634371280345705e-12,113.70240137078238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2634371280345705e-12,0.0,inf,1.0
