scenario,station,label,timestamps,avg_path_count,max_path_count,los_timestamp_ratio,path_loss_db_mean,path_loss_db_p05,path_loss_db_p50,path_loss_db_p95,rms_delay_spread_ns_mean,rms_delay_spread_ns_p50,rms_delay_spread_ns_p95,asa_deg_mean,asd_deg_mean,esa_deg_mean,esd_deg_mean,k_factor_db_mean,k_factor_db_p50,k_factor_db_p95
no_blockage,TX1,Viaduct A,3391,1.838985549985255,6,0.5945148923621351,106.66521050899414,83.7358134207839,109.43864380512409,124.99015721618785,0.6276590319632138,0.0,3.522029652417186,3.3660252087512013,0.5954733926455511,2.137415449989197,0.2856368959535909,3.119144539354812,1.287671379487456,14.490964546027362
no_blockage,TX2,Ground,3391,2.4948392804482453,6,0.512238277794161,108.42728636580378,83.78578953607305,106.75170239785498,132.2320969108959,3.6766748864144216,0.8412088556397223,22.427846459011256,12.440031777115369,0.5942331825518319,8.085467802324425,0.28954603170766813,4.285375558137733,2.1634881561012618,16.270833435096566
no_blockage,TX3,Tunnel,3391,10.764966086700088,32,0.4671188439988204,105.50592927191012,76.9249912554441,104.22484739511873,129.30880698830214,5.072682082818995,2.0124830844562958,24.22890914665601,15.834351222791952,2.067970925858984,9.602345647385759,0.933598546275018,-6.872222967038029,-8.231794757459248,-1.2043598738752768
no_blockage,TX4,Viaduct F,3391,2.3895606015924504,6,0.5821291654379239,111.06433331129587,83.94707795177368,112.14878141047222,133.3504868093022,2.9048372452887823,0.019241887277982855,5.054795192520756,3.881589221817414,0.6696397591127989,3.428544440931976,0.31469964818148455,3.6851336715701875,1.852221605113935,14.361974533826125
no_blockage,TX5,Portal,3391,2.651135358301386,6,0.47685048658212914,107.44386385316086,81.29462746379683,104.43493480896225,131.06107785606085,3.5068869387914634,0.99627543744236,21.84264760123701,12.936718698836165,0.7974359197285149,8.283175903476044,0.3110847803706758,4.258134802240919,2.5232193361498134,17.35666109057634
with_train_blockage,TX1,Viaduct A,3391,1.838985549985255,6,0.5945148923621351,108.90320670560642,84.82398350003126,110.92189823750273,126.58595228355655,0.4058649077574684,0.0,1.5207011810519395,3.6866550665123823,0.3918901000499925,2.111049026239554,0.12874357306298187,11.560121811674005,13.026381222763447,23.904081661489194
with_train_blockage,TX2,Ground,3391,2.4948392804482453,6,0.512238277794161,110.329773422442,84.79318600993972,108.97480240403195,132.38655957386777,1.1616999447583685,0.3507141474709955,5.986669515938446,9.335521437627346,0.39102838728313394,7.313838813565507,0.10468329383342022,14.819530044898764,14.05978104451173,26.348898924848495
with_train_blockage,TX3,Tunnel,3391,10.764966086700088,32,0.4671188439988204,107.0170922013393,77.81788297692356,109.10970884191038,129.52799927759048,2.4135277722673316,1.1439617611951454,6.420313285489515,12.786491401632233,2.0965072394436723,9.018169335975307,0.7226414837665935,-5.890382836452078,-6.986691175526931,-0.5265029309821564
with_train_blockage,TX4,Viaduct F,3391,2.3895606015924504,6,0.5821291654379239,111.6843431155461,84.86430607778487,112.18716639695926,133.3526577316348,2.659747939799243,0.0419419795567052,3.5113742916439517,3.503885836357282,0.47519086465643257,3.0713970373322637,0.17903199943354955,10.770370941583227,12.552030281652527,24.69724587031712
with_train_blockage,TX5,Portal,3391,2.651135358301386,6,0.47685048658212914,109.3591953842408,81.41196948767293,108.72484494400692,131.21468282814214,1.1924926772674211,0.7536564385205319,5.742065856233623,10.420404103573208,0.5805918491437353,7.662086051747206,0.13482190343427963,9.951121983307244,6.170346095804565,28.017890235252803
