scenario,station,label,timestamp_ns,path_count,total_power_linear,path_loss_db,mean_excess_delay_s,rms_delay_spread_s,rms_delay_spread_ns,asa_deg,asd_deg,esa_deg,esd_deg,los_power_linear,nlos_power_linear,k_factor_db,los_present
with_train_blockage,TX4,Viaduct F,0,1.0,4.194113775106884e-12,113.77359792461307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.194113775106884e-12,0.0,inf,1.0
with_train_blockage,TX4,Viaduct F,10285714,1.0,4.197539801223864e-12,113.7700517717444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.197539801223864e-12,0.0,inf,1.0
with_train_blockage,TX4,Viaduct F,20571429,1.0,4.2009700222572064e-12,113.76650417537164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2009700222572064e-12,0.0,inf,1.0
with_train_blockage,TX4,Viaduct F,30857143,1.0,4.20440444163236e-12,113.76295513785382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.20440444163236e-12,0.0,inf,1.0
with_train_blockage,TX4,Viaduct F,41142857,1.0,4.207842129953123e-12,113.75940562432349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.207842129953123e-12,0.0,inf,1.0
with_train_blockage,TX4,Viaduct F,51428571,1.0,4.211284955917902e-12,113.75585371119342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.211284955917902e-12,0.0,inf,1.0
with_train_blockage,TX4,Viaduct F,61714286,1.0,4.214731990517295e-12,113.75230036398685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.214731990517295e-12,0.0,inf,1.0
with_train_blockage,TX4,Viaduct F,72000000,1.0,4.218183237187937e-12,113.74874558505701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.218183237187937e-12,0.0,inf,1.0
with_train_blockage,TX4,Viaduct F,82285714,1.0,4.221638699369253e-12,113.74518937675569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.221638699369253e-12,0.0,inf,1.0
with_train_blockage,TX4,Viaduct F,92571429,1.0,4.2250974457682974e-12,113.7416327022401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2250974457682974e-12,0.0,inf,1.0
with_train_blockage,TX4,Viaduct F,102857143,1.0,4.228561348917274e-12,113.73807364185176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.228561348917274e-12,0.0,inf,1.0
with_train_blockage,TX4,Viaduct F,113142857,1.0,4.232029477911604e-12,113.73451315913853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.232029477911604e-12,0.0,inf,1.0
with_train_blockage,TX4,Viaduct F,123428571,1.0,4.235501836201883e-12,113.73095125644636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.235501836201883e-12,0.0,inf,1.0
with_train_blockage,TX4,Viaduct F,133714286,1.0,4.238976554703074e-12,113.72738985458494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.238976554703074e-12,0.0,inf,1.0
with_train_blockage,TX4,Viaduct F,144000000,1.0,4.242458317832955e-12,113.7238241593405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.242458317832955e-12,0.0,inf,1.0
with_train_blockage,TX4,Viaduct F,154285714,1.0,4.245943384357839e-12,113.72025801037873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.245943384357839e-12,0.0,inf,1.0
with_train_blockage,TX4,Viaduct F,164571429,1.0,4.249432694008593e-12,113.71669045080701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.249432694008593e-12,0.0,inf,1.0
with_train_blockage,TX4,Viaduct F,174857143,1.0,4.252927188058209e-12,113.71312052530563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.252927188058209e-12,0.0,inf,1.0
with_train_blockage,TX4,Viaduct F,185142857,1.0,4.256424994742731e-12,113.70955015192168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.256424994742731e-12,0.0,inf,1.0
with_train_blockage,TX4,Viaduct F,195428571,1.0,4.259928932115521e-12,113.70597646119704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.259928932115521e-12,0.0,inf,1.0
with_train_blockage,TX4,Viaduct F,205714286,1.0,4.2634371280345705e-12,113.70240137078238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2634371280345705e-12,0.0,inf,1.0
with_train_blockage,TX4,Viaduct F,216000000,1.0,4.266947707271226e-12,113.698826795177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.266947707271226e-12,0.0,inf,1.0
with_train_blockage,TX4,Viaduct F,226285714,1.0,4.270462550464455e-12,113.69525082297059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.270462550464455e-12,0.0,inf,1.0
with_train_blockage,TX4,Viaduct F,236571429,1.0,4.273981661095535e-12,113.69167345649277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.273981661095535e-12,0.0,inf,1.0
with_train_blockage,TX4,Viaduct F,246857143,1.0,4.277505983163008e-12,113.68809374316876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.277505983163008e-12,0.0,inf,1.0
with_train_blockage,TX4,Viaduct F,257142857,1.0,4.281034580414888e-12,113.6845126410152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.281034580414888e-12,0.0,inf,1.0
with_train_blockage,TX4,Viaduct F,267428571,1.0,4.284568397632312e-12,113.68092919824163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.284568397632312e-12,0.0,inf,1.0
with_train_blockage,TX4,Viaduct F,277714286,1.0,4.288104614437043e-12,113.67734627951825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.288104614437043e-12,0.0,inf,1.0
with_train_blockage,TX4,Viaduct F,288000000,1.0,4.291647000264669e-12,113.67376007149215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.291647000264669e-12,0.0,inf,1.0
with_train_blockage,TX4,Viaduct F,298285714,1.0,4.295192733577171e-12,113.67017343764972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.295192733577171e-12,0.0,inf,1.0
with_train_blockage,TX4,Viaduct F,308571429,1.0,4.298742759555283e-12,113.66658542658813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.298742759555283e-12,0.0,inf,1.0
with_train_blockage,TX4,Viaduct F,318857143,1.0,4.302298024939651e-12,113.6629950884773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.302298024939651e-12,0.0,inf,1.0
with_train_blockage,TX4,Viaduct F,329142857,1.0,4.305857590781702e-12,113.659403378568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.305857590781702e-12,0.0,inf,1.0
with_train_blockage,TX4,Viaduct F,339428571,1.0,4.30942146059248e-12,113.65581029917476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.30942146059248e-12,0.0,inf,1.0
with_train_blockage,TX4,Viaduct F,349714286,1.0,4.312989637885874e-12,113.65221585261048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.312989637885874e-12,0.0,inf,1.0
with_train_blockage,TX4,Viaduct F,360000000,1.0,4.31656212617853e-12,113.64862004118663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.31656212617853e-12,0.0,inf,1.0
with_train_blockage,TX4,Viaduct F,370285714,1.0,4.3201379838001135e-12,113.64502381739263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3201379838001135e-12,0.0,inf,1.0
with_train_blockage,TX4,Viaduct F,380571429,1.0,4.3237191042607354e-12,113.64142528278424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3237191042607354e-12,0.0,inf,1.0
with_train_blockage,TX4,Viaduct F,390857143,1.0,4.327303600313728e-12,113.63782633963389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.327303600313728e-12,0.0,inf,1.0
with_train_blockage,TX4,Viaduct F,401142857,1.0,4.3308943134068145e-12,113.63422414206953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3308943134068145e-12,0.0,inf,1.0
with_train_blockage,TX4,Viaduct F,411428571,1.0,4.334488409150684e-12,113.63062154057233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.334488409150684e-12,0.0,inf,1.0
with_train_blockage,TX4,Viaduct F,421714286,1.0,4.338087784203287e-12,113.62701663984032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.338087784203287e-12,0.0,inf,1.0
with_train_blockage,TX4,Viaduct F,432000000,1.0,4.341691495736136e-12,113.62341039117308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.341691495736136e-12,0.0,inf,1.0
with_train_blockage,TX4,Viaduct F,442285714,1.0,4.345299547289132e-12,113.61980279686975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.345299547289132e-12,0.0,inf,1.0
with_train_blockage,TX4,Viaduct F,452571429,1.0,4.348912890737257e-12,113.61619291219696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.348912890737257e-12,0.0,inf,1.0
with_train_blockage,TX4,Viaduct F,462857143,1.0,4.352531530809051e-12,113.6125807406318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.352531530809051e-12,0.0,inf,1.0
with_train_blockage,TX4,Viaduct F,473142857,1.0,4.356153573995045e-12,113.60896817813662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.356153573995045e-12,0.0,inf,1.0
with_train_blockage,TX4,Viaduct F,483428571,1.0,4.359779972179599e-12,113.60535427997351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.359779972179599e-12,0.0,inf,1.0
