scenario,station,label,timestamp_ns,path_count,total_power_linear,path_loss_db,mean_excess_delay_s,rms_delay_spread_s,rms_delay_spread_ns,asa_deg,asd_deg,esa_deg,esd_deg,los_power_linear,nlos_power_linear,k_factor_db,los_present
with_train_blockage,TX2,Ground,0,4.0,3.1327223045365954e-13,125.04078100794172,2.5747700098367636e-10,1.318237574213652e-09,1.318237574213652,17.894469674504638,0.11778315540083334,20.290441199030745,0.028021247214574285,0.0,3.1327223045365954e-13,,0.0
with_train_blockage,TX2,Ground,10285714,4.0,3.1400833724859015e-13,125.03058820802619,2.663185665243502e-10,1.4585972208653589e-09,1.4585972208653588,19.994382788321488,0.11792232502285366,20.187891981362146,0.028034199784300294,0.0,3.1400833724859015e-13,,0.0
with_train_blockage,TX2,Ground,20571429,4.0,3.1474676657129795e-13,125.02038722752923,2.763712905448024e-10,1.6277124147467291e-09,1.6277124147467292,19.988894895410514,0.11806106536337446,20.09980014567589,0.028044358410447133,0.0,3.1474676657129795e-13,,0.0
with_train_blockage,TX2,Ground,30857143,4.0,3.15487560169372e-13,125.0101776052859,2.8748605776600233e-10,1.8234558141757004e-09,1.8234558141757005,19.982784937848045,0.11819945139621017,20.02766840904176,0.02805202218936316,0.0,3.15487560169372e-13,,0.0
with_train_blockage,TX2,Ground,41142857,4.0,3.1623076967896275e-13,124.99995874910962,2.9947273625072447e-10,2.0421939085959323e-09,2.0421939085959324,19.976154604846357,0.11833758452470185,19.97053893097802,0.02805758785758684,0.0,3.1623076967896275e-13,,0.0
with_train_blockage,TX2,Ground,51428571,4.0,3.169764481361411e-13,124.98973005367417,3.1213872189388683e-10,2.2797865563150994e-09,2.2797865563150994,19.96910804897104,0.11847557035904922,19.926131803507438,0.028061464674732473,0.0,3.169764481361411e-13,,0.0
with_train_blockage,TX2,Ground,61714286,4.0,3.177246445913632e-13,124.97949097433057,3.253127532115594e-10,2.532308166953172e-09,2.5323081669531717,19.96173850948032,0.11861350448515778,19.891853666978424,0.028064020563245317,0.0,3.177246445913632e-13,,0.0
with_train_blockage,TX2,Ground,72000000,4.0,3.1847540197378763e-13,124.96924105556546,3.388538176960222e-10,2.7963938100427676e-09,2.7963938100427677,19.954123139276046,0.11875146670973233,19.865360310309846,0.028065560865715492,0.0,3.1847540197378763e-13,,0.0
with_train_blockage,TX2,Ground,82285714,4.0,3.1922875702401617e-13,124.95897993091026,3.526507795055351e-10,3.069317564091196e-09,3.069317564091196,19.946323001349203,0.11888952074335152,19.844751804875578,0.028066327815053742,0.0,3.1922875702401617e-13,,0.0
with_train_blockage,TX2,Ground,92571429,4.0,3.199847411457555e-13,124.9487073103697,3.666180182476905e-10,3.3489365078405025e-09,3.3489365078405027,19.938385329043577,0.11902771632682797,19.828571685533777,0.028066509176925138,0.0,3.199847411457555e-13,,0.0
with_train_blockage,TX2,Ground,102857143,4.0,3.207433814839233e-13,124.93842296495252,3.8069020166000484e-10,3.6335892732155847e-09,3.6335892732155846,19.930346315479724,0.1191660919837242,19.8157332710504,0.0280662491265394,0.0,3.207433814839233e-13,,0.0
with_train_blockage,TX2,Ground,113142857,4.0,3.215047019182294e-13,124.92812671255437,3.948175599541946e-10,3.92199307446468e-09,3.9219930744646803,19.922233661664894,0.11930467757557527,19.80543443101725,0.028065658251943557,0.0,3.215047019182294e-13,,0.0
with_train_blockage,TX2,Ground,123428571,4.0,3.222687238747885e-13,124.91781840648663,4.089620649012887e-10,4.213155668761622e-09,4.213155668761622,19.91406864814361,0.119443496396964,19.797083774650613,0.028064821715620535,0.0,3.222687238747885e-13,,0.0
with_train_blockage,TX2,Ground,133714286,4.0,3.230354669527523e-13,124.90749792664982,4.2309449908679986e-10,4.506305561051526e-09,4.5063055610515255,19.905867729551712,0.11958256679656257,19.790243373701504,0.028063805550493506,0.0,3.230354669527523e-13,,0.0
with_train_blockage,TX2,Ground,144000000,4.0,3.238049493952273e-13,124.89716517291698,4.371922638482832e-10,4.800838652971624e-09,4.800838652971624,19.897643730174607,0.11972190339704802,19.784586490822086,0.028062661387791916,0.0,3.238049493952273e-13,,0.0
with_train_blockage,TX2,Ground,154285714,4.0,3.2457718843911365e-13,124.88682006022856,4.512377568626292e-10,5.096278146329916e-09,5.096278146329916,19.889406730423477,0.11986151800197765,19.779867092245212,0.028061429966652694,0.0,3.2457718843911365e-13,,0.0
with_train_blockage,TX2,Ground,164571429,4.0,3.253522005742803e-13,124.87646251496486,4.652171739810441e-10,5.3922445944863455e-09,5.392244594486345,19.881164722433283,0.12000142026797604,19.775898051934323,0.028060143732005566,0.0,3.253522005742803e-13,,0.0
with_train_blockage,TX2,Ground,174857143,4.0,3.2613000173602713e-13,124.86609247225724,4.791196220187484e-10,5.688433533473058e-09,5.6884335334730585,19.87292409607208,0.12014161820394217,19.772535581764878,0.028058828761807864,0.0,3.2613000173602713e-13,,0.0
with_train_blockage,TX2,Ground,185142857,4.0,3.2691060744877783e-13,124.85570987398427,4.929364581763249e-10,5.984598713537409e-09,5.98459871353741,19.86469000114646,0.1202821185434654,19.769668066549627,0.028057506204200697,0.0,3.2691060744877783e-13,,0.0
with_train_blockage,TX2,Ground,195428571,4.0,3.2769403293413795e-13,124.84531466726781,5.066607946865346e-10,6.28053945607423e-09,6.28053945607423,19.856466619230513,0.12042292702478036,19.767208005369344,0.028056193356588495,0.0,3.2769403293413795e-13,,0.0
with_train_blockage,TX2,Ground,205714286,4.0,3.2848029319282125e-13,124.83490680333544,5.20287124380465e-10,6.5760910540912615e-09,6.576091054091261,19.848257369283285,0.12056404860270363,19.765086148021556,0.028054904482266996,0.0,3.2848029319282125e-13,,0.0
with_train_blockage,TX2,Ground,216000000,4.0,3.292694030673138e-13,124.8244862366525,5.338110352698164e-10,6.871117427692468e-09,6.871117427692468,19.840065064479663,0.12070548761042621,19.763247190771313,0.02805365143349229,0.0,3.292694030673138e-13,,0.0
with_train_blockage,TX2,Ground,226285714,4.0,3.3006137729023127e-13,124.81405292425485,5.472289911301215e-10,7.165505460262483e-09,7.165505460262483,19.831892032842365,0.12084724788410109,19.761646587571693,0.02805244413089365,0.0,3.3006137729023127e-13,,0.0
with_train_blockage,TX2,Ground,236571429,4.0,3.3085623052198303e-13,124.80360682523064,5.605381613988995e-10,7.459160595911707e-09,7.459160595911706,19.823740210808314,0.12098933285947569,19.760248165718934,0.028051290935448423,0.0,3.3085623052198303e-13,,0.0
with_train_blockage,TX2,Ground,246857143,4.0,3.3165397738036567e-13,124.79314790031555,5.737362882191876e-10,7.752003390399047e-09,7.752003390399047,19.815611216396942,0.12113174564760798,19.75902232664883,0.028050198939443206,0.0,3.3165397738036567e-13,,0.0
with_train_blockage,TX2,Ground,257142857,4.0,3.324546324640335e-13,124.78267611157318,5.868215816912607e-10,8.043966788326574e-09,8.043966788326575,19.80750640688071,0.12127448909453258,19.757944676130595,0.028049174195821997,0.0,3.324546324640335e-13,,0.0
