scenario,station,label,timestamp_ns,path_count,total_power_linear,path_loss_db,mean_excess_delay_s,rms_delay_spread_s,rms_delay_spread_ns,asa_deg,asd_deg,esa_deg,esd_deg,los_power_linear,nlos_power_linear,k_factor_db,los_present
with_train_blockage,TX1,Viaduct A,0,4.0,4.822244557281541e-10,93.16750768412184,1.2556626627975414e-09,1.1663826016677837e-09,1.1663826016677838,2.2374227609796047,0.9802378732545192,1.6011063965301577,0.6628162308994163,2.0536084820391222e-10,2.768636075242419e-10,-1.297482240032731,1.0
with_train_blockage,TX1,Viaduct A,10285714,3.0,4.846209876091959e-10,93.14597781685325,1.2587893339123667e-09,1.1699331305098814e-09,1.1699331305098815,2.243216436752638,0.9830655292963791,1.6059102913138292,0.6646695807199967,2.0653851280730027e-10,2.780824748018957e-10,-1.291725742670908,1.0
with_train_blockage,TX1,Viaduct A,20571429,3.0,4.87105231332248e-10,93.12377206239093,1.261942754863541e-09,1.1734177576424193e-09,1.1734177576424192,2.248983042886112,0.9859971511151018,1.6106367883263275,0.6666124780585092,2.0772620344190318e-10,2.793790278903449e-10,-1.2870251818182055,1.0
with_train_blockage,TX1,Viaduct A,30857143,2.0,3.3317762185565245e-10,94.77324176025695,5.796185973334323e-10,7.515935741210689e-10,0.7515935741210689,1.7756684101786024,0.5583415439351858,1.5951752048349759,0.6692620591001616,2.0892439797256212e-10,1.2425322388309034e-10,2.2568149360952443,1.0
with_train_blockage,TX1,Viaduct A,41142857,2.0,3.349090298735926e-10,94.75073142781406,5.807858587500324e-10,7.53697362282639e-10,0.7536973622826391,1.7804409204113567,0.5598417703935141,1.599457337521002,0.6710538938969648,2.1013278840361852e-10,1.2477624146997404e-10,2.263619239201256,1.0
with_train_blockage,TX1,Viaduct A,51428571,2.0,3.3665451269160063e-10,94.72815559648657,5.81862417104862e-10,7.556891740441689e-10,0.7556891740441689,1.7852382408977765,0.5613470905667269,1.603758270500456,0.6728571284017238,2.1135185615534497e-10,1.2530265653625566e-10,2.270457877356196,1.0
with_train_blockage,TX1,Viaduct A,61714286,2.0,3.3841352092986365e-10,94.70552293541044,5.830588243427227e-10,7.578435042951328e-10,0.7578435042951328,1.7900599735540053,0.5628638855897972,1.6080872732481353,0.6746648927613724,2.125815044228087e-10,1.2583201650705494e-10,2.2773431979853807,1.0
with_train_blockage,TX1,Viaduct A,72000000,3.0,3.4025645953570587e-10,94.68193621263251,5.841856837193894e-10,7.597336456186117e-10,0.7597336456186117,1.7952475903642595,0.5644675033584391,1.6122745383560437,0.6766985629627447,2.1382184770150368e-10,1.2643461183420222e-10,2.2818609853043514,1.0
with_train_blockage,TX1,Viaduct A,82285714,2.0,3.4197342380284897e-10,94.66007643488442,5.852204868447713e-10,7.618707463426544e-10,0.7618707463426544,1.799778315148782,0.5659123169301525,1.6168037154888368,0.6783140886949824,2.1507313484045598e-10,1.26900288962393e-10,2.2912355427574282,1.0
with_train_blockage,TX1,Viaduct A,92571429,2.0,3.437747115954075e-10,94.63726073601575,5.863547546153501e-10,7.639633893596286e-10,0.7639633893596286,1.8046753495091519,0.5674505264321008,1.6211943767416497,0.6801521852311384,2.1633540319906485e-10,1.2743930839634262e-10,2.298241914515529,1.0
with_train_blockage,TX1,Viaduct A,102857143,2.0,3.455903423011875e-10,94.61438402604912,5.874819998127745e-10,7.660536522459165e-10,0.7660536522459165,1.8095980110454277,0.5689935712875257,1.6256096923329832,0.6820013661820927,2.1760882436233306e-10,1.2798151793885446e-10,2.3052924581107193,1.0
with_train_blockage,TX1,Viaduct A,113142857,2.0,3.474204520219327e-10,94.59144618995354,5.885599859640731e-10,7.680865865073037e-10,0.7680865865073037,1.814546134527484,0.5705479966952797,1.6300495128435883,0.6838549733211184,2.1889354464113842e-10,1.2852690738079427e-10,2.3123889638185706,1.0
with_train_blockage,TX1,Viaduct A,123428571,2.0,3.4926522141271476e-10,94.56844657707703,5.897150807615743e-10,7.702268909214921e-10,0.7702268909214921,1.8195198933110537,0.5721072289503532,1.6345106036050714,0.6857229270307519,2.2018965770139355e-10,1.2907556371132118e-10,2.3195288590554735,1.0
with_train_blockage,TX1,Viaduct A,133714286,2.0,3.511248339461304e-10,94.54538453176755,5.909052500002565e-10,7.724196715729997e-10,0.7724196715729997,1.8245199798603697,0.5736778858310485,1.6389930326581335,0.6876019562668537,2.2149725792097806e-10,1.2962757602515233e-10,2.3267095413471326,1.0
