timestamp_ns,path_id,delay_s,amplitude_real,amplitude_imag,phase_rad,aoa_theta_rad,aoa_phi_rad,aod_theta_rad,aod_phi_rad,doppler_hz,los_flag,original_los_flag,train_blocked,blockage_loss_db
0,0,3.6695965405174432e-06,-3.3322952301425307e-07,-2.54426979867861e-07,-2.4894955544676143,1.5764321189461736,0.01347645682626574,1.5651605346436197,3.1281161967635276,-9727.914836841057,0,0,0,0.000
0,1,3.673761269323194e-06,4.5540220195604154e-08,7.371089038625408e-08,1.0173752760866117,0.1526493283952652,-1.5707963267948966,1.5639784059415887,3.134842756102616,0.0,0,0,0,0.000
0,2,3.6899741728638285e-06,3.3646818803012026e-09,-2.1405568924330806e-08,-1.4148848315343736,3.141592653589793,0.0,1.5707963267948966,3.1346609464296344,0.0,0,0,1,12.000
0,3,3.672036003007404e-06,5.0625884365605634e-08,-2.786919969630403e-08,-0.5032217067757164,0.0,0.0,1.564432929204491,3.1346609464296344,0.0,0,0,0,0.000
10285714,0,3.666261255754283e-06,-2.1964753483412383e-07,-3.5756107503243645e-07,-2.1216596979367504,1.5764372460142313,0.013488717811684066,1.565155407575562,3.128103935778109,-9727.91294740426,0,0,0,0.000
10285714,1,3.6704257820233355e-06,1.2737393639440789e-08,8.578237767172207e-08,1.4233884009642472,0.1526493283952652,-1.5707963267948966,1.5639722026674832,3.1348366144354753,0.0,0,0,0,0.000
10285714,2,3.690241449058092e-06,8.884861926452144e-10,-2.1648603819249737e-08,-1.5297780767302729,2.981679530431574,3.141592653589793,1.5707963267948966,3.1346609464296344,1549.1648778296146,0,0,1,12.000
10285714,3,3.6687005098587578e-06,5.757551848406741e-08,-5.550458458141342e-09,-0.09610611157091226,0.0,0.0,1.5644271394688953,3.1346546393460852,0.0,0,0,0,0.000
20571429,0,3.662925971639813e-06,-7.649700864366877e-08,-4.129939500799285e-07,-1.753946116609353,1.5764423824183624,0.013501001126342267,1.565150271171431,3.128091652463451,-9727.911052803824,0,0,0,0.000
20571429,1,3.6670902950033344e-06,-2.2193593597812577e-08,8.391656381114763e-08,1.8293487737521958,0.1526493283952652,-1.5707963267948966,1.5639659880954544,3.1348304615818385,0.0,0,0,0,0.000
20571429,2,3.691023562138194e-06,-5.7995121726837382e-09,2.0871468202211149e-08,1.8418268920766676,2.82955053202726,3.141592653589793,1.5707963267948966,3.1346609464296344,2986.815548157359,0,0,1,12.000
20571429,3,3.6653650169793156e-06,5.511846757326299e-08,1.771424572431548e-08,0.310958739824922,0.0,0.0,1.5644213391885236,3.1346483207747777,0.0,0,0,0,0.000
30857143,0,3.659590688175809e-06,7.710048559162117e-08,-4.1327112286485117e-07,-1.3863551454123029,1.5764475281840882,0.013513306831289965,1.565145125405705,3.1280793467585033,-9727.909153020913,0,0,0,0.000
30857143,1,3.663754808263955e-06,-5.357364884203166e-08,6.839689021622027e-08,2.2352562505611204,0.1526493283952652,-1.5707963267948966,1.5639597621946102,3.1348242975111154,0.0,0,0,0,0.000
30857143,2,3.692267993554571e-06,2.0981134094048805e-08,-5.3598769330267726e-09,-0.25011247757542593,2.6909313275091593,3.141592653589793,1.5707963267948966,3.1346609464296344,4237.551700864176,0,0,1,12.000
30857143,3,3.662029524369815e-06,4.364286850831385e-08,3.812149921711927e-08,0.7179727085283076,0.0,0.0,1.5644155283345427,3.134641990684297,0.0,0,0,0,0.000
41142857,0,3.65625540536405e-06,2.2062348398590565e-07,-3.58309050498533e-07,-1.0188871193888964,1.5764526833370232,0.013525634987799509,1.56513997025277,3.128067018601994,-9727.907248036616,0,0,0,0.000
41142857,1,3.6604193218059665e-06,-7.62944344330891e-08,4.172759776430701e-08,2.6411106865703595,0.1526493283952652,-1.5707963267948966,1.5639535249339458,3.1348181221926033,0.0,0,0,0,0.000
41142857,2,3.6939047143662387e-06,1.364674944312519e-08,-1.6801399681862076e-08,-0.8886371005443227,2.5686265107010873,3.141592653589793,1.5707963267948966,3.1346609464296344,5274.326715432041,0,0,1,12.000
41142857,3,3.658694032030994e-06,2.5011880628365248e-08,5.233048749014823e-08,1.1249356551901042,0.0,0.0,1.5644097068780152,3.134635649043115,0.0,0,0,0,0.000
51428571,0,3.6529201232063233e-06,3.348925215851738e-07,-2.554027638582319e-07,-0.65154237556149,1.576457847902875,0.013537985657367026,1.565134805686918,3.1280546679324264,-9727.90533783192,0,0,0,0.000
51428571,1,3.657083835630139e-06,-8.664942650314602e-08,8.228632921937441e-09,3.046911936260762,0.1526493283952652,-1.5707963267948966,1.5639472762823434,3.1348119355954887,0.0,0,0,0,0.000
51428571,2,3.6958613226356077e-06,1.1555157116856136e-08,1.8289428701735324e-08,1.0073261228967707,2.462930162841481,3.141592653589793,1.5707963267948966,3.1346609464296344,6107.373953028298,0,0,1,12.000
51428571,3,3.6553585399635942e-06,2.26055002787441e-09,5.8009535438554745e-08,1.5318474402283406,0.0,0.0,1.5644038747898967,3.134629295819588,0.0,0,0,0,0.000
61714286,0,3.6495848417044224e-06,4.046297451769991e-07,-1.182484873364934e-07,-0.28432125188376306,1.5764630219074458,0.013550358901713416,1.5651296316823475,3.12804229468808,-9727.90342238774,0,0,0,0.000
61714286,1,3.653748349737246e-06,-8.293767387393371e-08,-2.6664844811686214e-08,-2.830525452833581,0.1526493283952652,-1.5707963267948966,1.5639410162085714,3.134805737688845,0.0,0,0,0,0.000
61714286,2,3.6980726482565922e-06,9.2735840464141851e-09,-1.9531153002815885e-08,-1.127503137999538,2.3725864645003503,3.141592653589793,1.5707963267948966,3.1346609464296344,6765.722228148344,0,0,1,12.000
61714286,3,3.6520230481683606e-06,-2.0899054474367522e-08,5.421812281595591e-08,1.938707923129724,0.0,0.0,1.564398032041038,3.1346229309819558,0.0,0,0,0,0.000
72000000,0,3.646249560860145e-06,4.2049508328250454e-07,3.4886579875858115e-08,0.08277591252645186,1.5764682053766312,0.01356275478278538,1.5651244482131619,3.1280298988070077,-9727.9015016849,0,0,0,0.000
72000000,1,3.650412864128064e-06,-6.574205274583918e-08,-5.728464305330689e-08,-2.4248310132696322,0.1526493283952652,-1.5707963267948966,1.5639347446812835,3.134799528441633,0.0,0,0,0,0.000
72000000,2,3.700484563295494e-06,-2.1028756142890578e-08,4.9646288839430414e-09,2.9097502482750865,2.2956624704102375,3.141592653589793,1.5707963267948966,3.1346609464296344,7282.979054035194,0,0,1,12.000
72000000,3,3.6486875566460397e-06,-4.0683671020015785e-08,4.156188351842524e-08,2.345516963264545,0.0,0.0,1.5643921786021824,3.134616554498344,0.0,0,0,0,0.000
82285714,0,3.6429142806752987e-06,3.8032845052919453e-07,1.8360175658919513e-07,0.4497487772707538,1.576473398336423,0.013575173362756465,1.5651192552533704,3.1280174802270366,-9727.899575704128,0,0,0,0.000
82285714,1,3.647077378803374e-06,-3.783668033768824e-08,-7.86501600162888e-08,-2.019190198910284,0.1526493283952652,-1.5707963267948966,1.5639284616690188,3.134793307822698,0.0,0,0,0,0.000
82285714,2,3.703054104124487e-06,-1.5446676367011232e-08,1.5086704015958335e-08,2.3679834133387305,2.2301063951277547,3.141592653589793,1.5707963267948966,3.1346609464296344,7689.910716536864,0,0,1,12.000
82285714,3,3.6453520653973804e-06,-5.385673402130532e-08,2.2095165526016526e-08,2.7522744194210187,0.0,0.0,1.564386314443966,3.1346101663367594,0.0,0,0,0,0.000
92571429,0,3.639579001151696e-06,2.894339288437295e-07,3.080817747020347e-07,0.8165970004373425,1.5764786008129066,0.013587614704028106,1.5651140527768865,3.128005038885765,-9727.897644426072,0,0,0,0.000
92571429,1,3.6437418937639557e-06,-3.738375747448628e-09,-8.727794133965311e-08,-1.6136031572537486,0.1526493283952652,-1.5707963267948966,1.5639221671402013,3.1347870758007734,0.0,0,0,0,0.000
92571429,2,3.70574795485087e-06,-1.9992689209768691e-08,-8.1131537437321926e-09,-2.7560911245450073,2.1740261797195815,3.141592653589793,1.5707963267948966,3.1346609464296344,8011.8665614102565,0,0,1,12.000
92571429,3,3.6420165744231364e-06,-5.8257426780338864e-08,-1.0130528597849955e-09,-3.1242051577235497,0.0,0.0,1.5643804395369179,3.1346037664650925,0.0,0,0,0,0.000
102857143,0,3.636243722291156e-06,1.5986984544348632e-07,3.9173454739753205e-07,1.1833202390666802,1.5764838128322647,0.013600078869230649,1.5651088407575287,3.1279925747205626,-9727.895707831289,0,0,0,0.000
102857143,1,3.6404064090105966e-06,3.1025143021222315e-08,-8.174867469329682e-08,-1.2080700363803158,0.1526493283952652,-1.5707963267948966,1.563915861063139,3.134780832344476,0.0,0,0,0,0.000
102857143,2,3.708540526738101e-06,4.5970457047971614e-09,-2.1064121640582905e-08,-1.355924854408364,2.125792054133483,3.141592653589793,1.5707963267948966,3.1346609464296344,8268.66315238582,0,0,1,12.000
102857143,3,3.6386810837240616e-06,-5.315448339668679e-08,-2.3995456712357852e-08,-2.7175512958366794,0.0,0.0,1.5643745538514582,3.1345973548511163,0.0,0,0,0,0.000
113142857,0,3.632908444095507e-06,8.841042195693737e-09,4.2339698475163693e-07,1.5499181489186595,1.5764890344207747,0.013612565921224428,1.5651036191690186,3.127980087668569,-9727.893765900248,0,0,0,0.000
113142857,1,3.637070924544082e-06,6.081164344648662e-08,-6.293948410453162e-08,-0.8025909844866904,0.1526493283952652,-1.5707963267948966,1.5639095434060235,3.1347745774223084,0.0,0,0,0,0.000
113142857,2,3.7114121881394884e-06,-1.4312088041567486e-08,-1.6102023175243201e-08,-2.2974101686222066,2.0840485996611573,3.141592653589793,1.5707963267948966,3.1346609464296344,8475.398704585325,0,0,1,12.000
113142857,3,3.6353455933009155e-06,-3.9366912570880244e-08,-4.3100712139680204e-08,-2.310949445288803,0.0,0.0,1.5643686573578992,3.1345909314624842,0.0,0,0,0,0.000
123428571,0,3.62957316656658e-06,-1.4359122259842032e-07,3.9881635627879876e-07,1.9163903845890213,1.5764942656048115,0.013625075923100811,1.5650983879849818,3.1279675776666926,-9727.891818613323,0,0,0,0.000
123428571,1,3.6337354403652057e-06,8.077993542437392e-08,-3.3883692910109024e-08,-0.39716615105014547,0.1526493283952652,-1.5707963267948966,1.5639032141369296,3.134768311002657,0.0,0,0,0,0.000
123428571,2,3.7143478187276028e-06,-1.9732166653685161e-08,-8.6034460698061368e-09,-2.7304324932291375,2.0476881944604317,3.141592653589793,1.5707963267948966,3.1346609464296344,8643.453693335294,0,0,1,12.000
123428571,3,3.6320101031544578e-06,-1.9131837892784687e-08,-5.520560955143573e-08,-1.9043997492707665,0.0,0.0,1.5643627500264436,3.134584496266732,0.0,0,0,0,0.000
133714286,0,3.6262378897062152e-06,-2.7717616520870575e-07,3.212117112457514e-07,2.2827365992765216,1.576499506410847,0.013637608938183249,1.5650931471789464,3.12795504465161,-9727.889865950805,0,0,0,0.000
133714286,1,3.630399956474759e-06,8.767606247706329e-08,7.193381467022747e-10,0.008204314684876675,0.1526493283952652,-1.5707963267948966,1.5638968732238143,3.1347620330537924,0.0,0,0,0,0.000
133714286,2,3.7173356934458813e-06,1.9415365693725208e-08,-9.2561689344958034e-09,-0.4448707344456283,2.0158125515504377,3.141592653589793,1.5707963267948966,3.1346609464296344,8781.388590425218,0,0,1,12.000
133714286,3,3.628674613285452e-06,4.25909964697092e-09,-5.83251682027307e-08,-1.4979023517883228,0.0,0.0,1.5643568318271845,3.134578049231275,0.0,0,0,0,0.000
144000000,0,3.622902613516259e-06,-3.741623255929945e-07,2.008425314990339e-07,2.648956444899348,1.5765047568654496,0.013650165030028364,1.5650878967243438,3.127942488559765,-9727.887907892888,0,0,0,0.000
144000000,1,3.62706447287354e-06,8.036255312904324e-08,3.526492782802204e-08,0.4135202623097799,0.1526493283952652,-1.5707963267948966,1.563890520634517,3.1347557435438675,0.0,0,0,0,0.000
144000000,2,3.720366644032461e-06,2.1491188466736721e-08,9.1691579311065311e-11,0.004266447298223241,1.9876943972047902,3.141592653589793,1.5707963267948966,3.1346609464296344,8895.662033196104,0,0,1,12.000
144000000,3,3.6253391236946644e-06,2.699558001279822e-08,-5.193746048291831e-08,-1.0914573971964712,0.0,0.0,1.5643509027301052,3.1345715903234095,0.0,0,0,0,0.000
154285714,0,3.619567337998564e-06,-4.21651531948997e-07,5.364372534497685e-08,3.0150495720951196,1.5765100169952866,0.013662744262427022,1.5650826365945065,3.1279299093273663,-9727.885944419682,0,0,0,0.000
154285714,1,3.623728989562348e-06,6.000480921704791e-08,6.415109297957802e-08,0.8187815410667226,0.1526493283952652,-1.5707963267948966,1.5638841563367585,3.134749442440918,0.0,0,0,0,0.000
154285714,2,3.723433436379453e-06,2.1469632081230564e-08,-4.1707291791574683e-10,-0.019423735987519668,1.9627438522634093,3.141592653589793,1.5707963267948966,3.1346609464296344,8991.175930130421,0,0,1,12.000
154285714,3,3.6220036343828657e-06,4.5369389768491555e-08,-3.7070108995154216e-08,-0.6850650306651176,0.0,0.0,1.564344962705078,3.1345651195103104,0.0,0,0,0,0.000
164571429,0,3.616232063154992e-06,-4.133064655130464e-07,-1.008902615987104e-07,-2.902169676725868,1.5765152868271235,0.01367534669940539,1.5650773667626696,3.127917306890388,-9727.883975511193,0,0,0,0.000
164571429,1,3.620393506541985e-06,2.988428198688509e-08,8.26867193181174e-08,1.2239879997322016,0.1526493283952652,-1.5707963267948966,1.56387778029814,3.1347431297128625,0.0,0,0,0,0.000
164571429,2,3.726530309519679e-06,1.8063974724916343e-08,1.1577813954222412e-08,0.5699754458067452,1.940480615590198,3.141592653589793,1.5707963267948966,3.1346609464296344,9071.678981726927,0,0,1,12.000
164571429,3,3.6186681453508264e-06,5.637899709308063e-08,-1.6134250163839384e-08,-0.27872539759699927,0.0,0.0,1.564339011721864,3.134558636759032,0.0,0,0,0,0.000
174857143,0,3.6128967889874087e-06,-3.501867786136997e-07,-2.4229040180201606e-07,-2.5363310394772065,1.5765205663878243,0.013687972405226052,1.565072087201969,3.127904681184567,-9727.88200114735,0,0,0,0.000
174857143,1,3.6170580238132574e-06,-5.1314273656475485e-09,8.78526930919393e-08,1.6291394866170528,0.1526493283952652,-1.5707963267948966,1.563871392486144,3.1347368053275,0.0,0,0,0,0.000
174857143,2,3.729652633547546e-06,-1.8850261231433155e-08,1.0210296411643214e-08,2.6451806362957124,1.9205116171614043,3.141592653589793,1.5707963267948966,3.1346609464296344,9140.062194262498,0,0,1,12.000
174857143,3,3.6153326565993214e-06,5.821938075055019e-08,7.467088403362436e-09,0.12756135613948555,0.0,0.0,1.5643330497501133,3.1345521420365063,0.0,0,0,0,0.000
185142857,0,3.6095615154976886e-06,-2.406047118844549e-07,-3.51823901832628e-07,-2.1706201764261537,1.5765258557043522,0.01370062144438909,1.565066797885441,3.1278920321454042,-9727.880021307974,0,0,0,0.000
185142857,1,3.6137225413769734e-06,-3.937581279320279e-08,7.879261055756993e-08,2.034235849100789,0.1526493283952652,-1.5707963267948966,1.563864992868132,3.1347304692525118,0.0,0,0,0,0.000
185142857,2,3.7327966544829613e-06,1.730003739770749e-08,1.2630017762989715e-08,0.6306151050473842,1.9025133285977458,3.141592653589793,1.5707963267948966,3.1346609464296344,9198.57470167325,0,0,1,12.000
185142857,3,3.6119971681291287e-06,5.0577255132022726e-08,2.98924894389322e-08,0.5337950835117855,0.0,0.0,1.5643270767593629,3.134545635309544,0.0,0,0,0,0.000
195428571,0,3.6062262426877115e-06,-9.902120332669202e-08,-4.149719071511821e-07,-1.805037441940948,1.5765311548037706,0.013713293881633157,1.5650614987860227,3.1278793597081602,-9727.87803597281,0,0,0,0.000
195428571,1,3.610387059233945e-06,-6.730062728512537e-08,5.695347415590638e-08,2.439276934213677,0.1526493283952652,-1.5707963267948966,1.5638585814113453,3.1347241214554575,0.0,0,0,0,0.000
195428571,2,3.7359593026717537e-06,3.8887081376787814e-09,2.1045429871514604e-08,1.3880803392328604,1.886217851775337,3.141592653589793,1.5707963267948966,3.1346609464296344,9248.981692555022,0,0,1,12.000
195428571,3,3.6086616799410293e-06,3.4683517627028464e-08,4.748743922027751e-08,0.9399756377201797,0.0,0.0,1.5643210927190374,3.1345391165448326,0.0,0,0,0,0.000
205714286,0,3.602890970559366e-06,5.5869675740174185e-08,-4.2334689434850546e-07,-1.4395831919032296,1.5765364637132424,0.01372598978193663,1.565056189876551,3.1278666638078567,-9727.876045121491,0,0,0,0.000
205714286,1,3.607051577384985e-06,-8.437448459547893e-08,2.5853459066471815e-08,2.8442625887531543,0.1526493283952652,-1.5707963267948966,1.5638521580829032,3.134717761903779,0.0,0,0,0,0.000
205714286,2,3.739138047774905e-06,1.3481425442846914e-08,-1.6598340181380121e-08,-0.8886513004756245,1.871401996837292,3.141592653589793,1.5707963267948966,3.1346609464296344,9292.680520586977,0,0,1,12.000
205714286,3,3.6053261920358072e-06,1.3114271712202065e-08,5.737961744775574e-08,1.3461028706843787,0.0,0.0,1.5643150975984486,3.1345325857089357,0.0,0,0,0,0.000
216000000,0,3.5995556991145465e-06,2.0361324114991727e-07,-3.7579745919808444e-07,-1.074257783475205,1.5765417824600318,0.013738709210518679,1.5650508711297615,3.1278539443792748,-9727.874048733567,0,0,0,0.000
216000000,1,3.6037160958309134e-06,-8.781740764648852e-08,-9.485789816773748e-09,-3.0339926490599134,0.1526493283952652,-1.5707963267948966,1.5638457228498037,3.1347113905647954,0.0,0,0,0,0.000
216000000,2,3.7423307881108533e-06,1.8953203604305789e-08,9.8615379017052155e-09,0.47976313476380045,1.857878695982039,3.141592653589793,1.5707963267948966,3.1346609464296344,9330.786616459334,0,0,1,12.000
216000000,3,3.6019907044142475e-06,-1.0627289286324977e-08,5.794725598833281e-08,1.7521766346733394,0.0,0.0,1.5643090913667943,3.1345260427682935,0.0,0,0,0,0.000
226285714,0,3.5962204283551554e-06,3.246960715848686e-07,-2.7855619375221495e-07,-0.7090615752160656,1.5765471110715037,0.013751452232840413,1.5650455425182894,3.127841201356953,-9727.87204678849,0,0,0,0.000
226285714,1,3.6003806145725486e-06,-7.705237130904216e-08,-4.3350568259174986e-08,-2.6291183190002396,0.1526493283952652,-1.5707963267948966,1.5638392756789226,3.1347050074057066,0.0,0,0,0,0.000
226285714,2,3.7455357655031177e-06,1.9142639118784634e-08,-9.4473471404537112e-09,-0.4584532035829956,1.8454902321960058,3.141592653589793,1.5707963267948966,3.1346609464296344,9364.197521408027,0,0,1,12.000
226285714,3,3.59865521707714e-06,-3.2680179013996835e-08,4.908428102523136e-08,2.158196780559034,0.0,0.0,1.5643030739931578,3.1345194876892215,0.0,0,0,0,0.000
236571429,0,3.592885158283101e-06,4.031202381687204e-07,-1.444130177752223e-07,-0.34399492696557143,1.5765524495751249,0.013764218914605962,1.5650402040146683,3.1278284346751875,-9727.870039265616,0,0,0,0.000
236571429,1,3.5970451336107156e-06,-5.380066991968253e-08,-7.025902260260606e-08,-2.2242998840111117,0.1526493283952652,-1.5707963267948966,1.5638328165370117,3.1346986123935885,0.0,0,0,0,0.000
236571429,2,3.7487514992080918e-06,-2.0482660988837442e-08,5.9474477179657275e-09,2.8589985859897644,1.8341028763640574,3.141592653589793,1.5707963267948966,3.1346609464296344,9393.640986781504,0,0,1,12.000
236571429,3,3.595319730025278e-06,-4.9453525409288284e-08,3.221900808329728e-08,2.5641631590970206,0.0,0.0,1.564297045446508,3.1345129204379103,0.0,0,0,0,0.000
246857143,0,3.5895498889002984e-06,4.2851067184769926e-07,8.975097029195059e-09,0.02094180038878004,1.576557797998464,0.013777009321763659,1.5650348555913294,3.1278156442680296,-9727.868026144211,0,0,0,0.000
246857143,1,3.5937096529462403e-06,-2.18055521885398e-08,-8.584814081772899e-08,-1.8195374996233984,0.1526493283952652,-1.5707963267948966,1.5638263453907004,3.1346922054953965,0.0,0,0,0,0.000
246857143,2,3.75197673422955e-06,-6.8428208016087898e-09,-2.0181813163530505e-08,-1.897690895627271,1.8236026186966532,3.141592653589793,1.5707963267948966,3.1346609464296344,9419.71139372523,0,0,1,12.000
246857143,3,3.5919842432594553e-06,-5.821096769477767e-08,1.0083243534390576e-08,2.9700756204607797,0.0,0.0,1.564291005695698,3.134506340980425,0.0,0,0,0,0.000
257142857,0,3.5862146202086727e-06,3.9747888873261724e-07,1.6141355243492263e-07,0.3857482439804306,1.5765631563691918,0.013789823520507139,1.5650294972206014,3.127802830069286,-9727.866007403432,0,0,0,0.000
